Ранг ГЛ;Ранг РУ;Уровень;По-английски;По-французски;Инфинитив;Подробности;Разговорный;Неправильный;Группа ;Суффикс спряжения;Совершенный вид;Пара аспектов;Возвратный;Действительный;Я;Ты;Он/Она/Оно;Мы;Вы;Они;Повелительное накл. 1;Повелительное накл. 2;Деепричастие Наст. время;Деепричастие Прош. время;Действит. причастие Наст. время;Действит. причастие Прош. время;Страдат. причастие Наст. время;Страдат. причастие Прош. время;Скрытый1-unwantedToExport;Скрытый2-genericFirstTrans
10000;10000;C1;"clear up; elucidate";"éclaircir; élucider";выяснить;;;;;;совер.;выясняться/выяснить;;;выясню;выяснишь;выяснит;выясните;выясним;выяснят;выясни;выясните;;выяснив, *выяснивши;;выяснивший;;выясненный;;
1491;7886;C1;"lower; let / get down";faire descendre;спускать;;;;;;несовер.;спускать/спустить;;;спускаю;спускаешь;спускает;спускаете;спускаем;спускают;спускай;спускайте;спуская;спускав;спускающий;спускавший;спускаемый;;;
10000;10000;C1;"lower; let / get down";faire descendre;спустить;;;;;;совер.;спускать/спустить;;;спущу;спустишь;спустит;спустите;спустим;спустят;спусти;спустите;;спустив, *спустивши;;спустивший;;спущенный;;
1492;7888;C1;"incline; bend";"se pencher; s'incliner";склоняться;;;;;;несовер.;склоняться/склониться;возврат.;;склоняюсь;склоняешься;склоняется;склоняетесь;склоняемся;склоняются;склоняйся;склоняйтесь;склоняясь;склонявшись;склоняющийся;склонявшийся;склоняющийся;склонявшийся;;
10000;10000;C1;"incline; bend";"se pencher; s'incliner";склониться;;;;;;совер.;склоняться/склониться;возврат.;;склонюсь;склонишься;склонится;склонитесь;склонимся;склонятся;склонись;склонитесь;;склонившись, склонясь;;склонившийся;;;;
1493;7902;C1;"poke; thrust";"fourrer; glisser";совать;;;;;;несовер.;совать/сунуть;;;сую;суёшь;суёт;суёте;суём;суют;суй;суйте;суя;совав;сующий;совавший;;;;
10000;10000;C1;"poke; thrust";"fourrer; glisser";сунуть;;;;;;совер.;совать/сунуть;;;суну;сунешь;сунет;сунете;сунем;сунут;сунь;суньте;;сунув, *сунувши;;сунувший;;сунутый;;
1494;7911;C1;"stand motionless; freeze";"rester immobile; se figer";замирать;;;;;;несовер.;замирать/замереть;;;замираю;замираешь;замирает;замираете;замираем;замирают;замирай;замирайте;замирая;замирав;замирающий;замиравший;замирающий;замиравший;;
10000;10000;C1;"stand motionless; freeze";"rester immobile; se figer";замереть;;;неправ.;;;совер.;замирать/замереть;;;замру;замрёшь;замрёт;замрёте;замрём;замрут;замри;замрите;;замерев, замерши;;замерший;;;;
1495;7914;C1;"pull (by); tug (by)";tirer par;дергать;;;;;;несовер.;дергать/дернуть;;;дёргаю;дёргаешь;дёргает;дёргаете;дёргаем;дёргают;дёргай;дёргайте;дёргая;дёргав;дёргающий;дёргавший;дёргаемый;дёрганный;;
10000;10000;C1;"pull (by); tug (by)";tirer par;дернуть;;;;;;совер.;дергать/дернуть;;;;;;;;;;;;;;;;;;
1496;7915;C1;"interrupt; break / cut (off)";"interrompre; rompre";прерывать;;;;;;несовер.;прерывать/прервать;;;прерываю;прерываешь;прерывает;прерываете;прерываем;прерывают;прерывай;прерывайте;прерывая;прерывав;прерывающий;прерывавший;прерываемый;;;
10000;10000;C1;"interrupt; break / cut (off)";"interrompre; rompre";прервать;;;;;;совер.;прерывать/прервать;;;прерву;прервёшь;прервёт;прервёте;прервём;прервут;прерви;прервите;;прервав, *прервавши;;прервавший;;прерванный;;
1497;7918;C1;"manufacture; produce";"produire; manufacturer";вырабатывать;;;;;;несовер.;вырабатывать/выработать;;;вырабатываю;вырабатываешь;вырабатывает;вырабатываете;вырабатываем;вырабатывают;вырабатывай;вырабатывайте;вырабатывая;вырабатывав;вырабатывающий;вырабатывавший;вырабатываемый;;;
10000;10000;C1;"manufacture; produce";"produire; manufacturer";выработать;;;;;;совер.;вырабатывать/выработать;;;выработаю;выработаешь;выработает;выработаете;выработаем;выработают;выработай;выработайте;;выработав, *выработавши;;выработавший;;выработанный;;
1498;7921;C1;lighten;"alléger; faciliter";облегчать;;;;;;несовер.;облегчать/облегчить;;;облегчаю;облегчаешь;облегчает;облегчаете;облегчаем;облегчают;облегчай;облегчайте;облегчая;облегчав;облегчающий;облегчавший;облегчаемый;;;
10000;10000;C1;lighten;"alléger; faciliter";облегчить;;;;;;совер.;облегчать/облегчить;;;облегчу;облегчишь;облегчит;облегчите;облегчим;облегчат;облегчи;облегчите;;облегчив, *облегчивши;;облегчивший;;облегчённый;;
1499;7925;C1;"be revealed; appear";découvrir;обнаруживаться;;;;;;несовер.;обнаруживаться/обнаружиться;возврат.;;обнаруживаюсь;обнаруживаешься;обнаруживается;обнаруживаетесь;обнаруживаемся;обнаруживаются;обнаруживайся;обнаруживайтесь;обнаруживаясь;обнаруживавшись;обнаруживающийся;обнаруживавшийся;обнаруживающийся;обнаруживавшийся;;
10000;10000;C1;"be revealed; appear";"se retrouver; se montrer";обнаружиться;;;;;;совер.;обнаруживаться/обнаружиться;возврат.;;обнаружусь;обнаружишься;обнаружится;обнаружитесь;обнаружимся;обнаружатся;обнаружься;обнаружьтесь;;обнаружившись;;обнаружившийся;;;;
1500;7930;C1;"копнуть; dig";creuser;копать;;;;;;несовер.;копать/копнуть;;;копаю;копаешь;копает;копаете;копаем;копают;копай;копайте;копая;копав;копающий;копавший;копаемый;копанный;;
10000;10000;C1;dig;creuser;копнуть;;;;;;совер.;копать/копнуть;;действит.;копну;копнёшь;копнёт;копнёте;копнём;копнут;копни;копните;;копнув, *копнувши;;копнувший;;;;
1501;7935;C1;roar;"mugir; vrombir";реветь;;;;;;несовер.;;;действит.;реву;ревёшь;ревёт;ревёте;ревём;ревут;реви;ревите;ревя;ревев;ревущий;ревевший;ревущий;ревевший;;
1502;7947;C1;"take out; lay out";étaler;выкладывать;;;;;;несовер.;выкладывать/выложить;;;выкладываю;выкладываешь;выкладывает;выкладываете;выкладываем;выкладывают;выкладывай;выкладывайте;выкладывая;выкладывав;выкладывающий;выкладывавший;выкладываемый;;;
10000;10000;C1;совер. от выкладывать;étaler;выложить;;;неправ.;;;совер.;выкладывать/выложить;;;выложу;выложишь;выложит;выложите;выложим;выложат;выложи;выложите;;выложив, *выложивши;;выложивший;;выложенный;;
1503;7961;C1;look out;regarder (dehors);выглядывать;;;;;;несовер.;выглядывать/выглядеть;;действит.;выглядываю;выглядываешь;выглядывает;выглядываете;выглядываем;выглядывают;выглядывай;выглядывайте;выглядывая;выглядывав;выглядывающий;выглядывавший;выглядывающий;выглядывавший;;
1504;7964;C1;let go / slip;"lâcher; laisser échapper";упускать;;;;;;несовер.;упускать/упустить;;;упускаю;упускаешь;упускает;упускаете;упускаем;упускают;упускай;упускайте;упуская;упускав;упускающий;упускавший;упускаемый;;;
10000;10000;C1;let go / slip;"lâcher; laisser échapper";упустить;;;;;;совер.;упускать/упустить;;;упущу;упустишь;упустит;упустите;упустим;упустят;упусти;упустите;;упустив, *упустивши;;упустивший;;упущенный;;
1505;7969;C1;"tear off / down / away; pluck";"arracher; enlever";срывать;;;;;;несовер.;срывать/сорвать;;;срываю;срываешь;срывает;срываете;срываем;срывают;срывай;срывайте;срывая;срывав;срывающий;срывавший;срываемый;;;
10000;10000;C1;"tear off / down / away; pluck";"arracher; enlever";сорвать;;;;;;совер.;срывать/сорвать;;;сорву;сорвёшь, сорвешь;сорвёт, сорвет;сорвёте, сорвете;сорвём, сорвем;сорвут;сорви;сорвите;;сорвав, *сорвавши;;сорвавший;;сорванный;;
1506;7976;C1;"devote (to); dedicate (to)";"consacrer; vouer";посвящать;;;;;;несовер.;посвящать/посвятить;;;посвящаю;посвящаешь;посвящает;посвящаете;посвящаем;посвящают;посвящай;посвящайте;посвящая;посвящав;посвящающий;посвящавший;посвящаемый;;;
10000;10000;C1;"devote (to); dedicate (to)";"consacrer; vouer";посвятить;;;;;;совер.;посвящать/посвятить;;;посвящу;посвятишь;посвятит;посвятите;посвятим;посвятят;посвяти;посвятите;;посвятив, *посвятивши;;посвятивший;;посвящённый;;
1507;7981;C1;"pay (out); disburse";"payer; s'acquitter de";выплачивать;;;;;;несовер.;выплачивать/выплатить;;;выплачиваю;выплачиваешь;выплачивает;выплачиваете;выплачиваем;выплачивают;выплачивай;выплачивайте;выплачивая;выплачивав;выплачивающий;выплачивавший;выплачиваемый;;;
10000;10000;C1;"pay (out); disburse";"payer; s'acquitter de";выплатить;;;;;;совер.;выплачивать/выплатить;;;выплачу;выплатишь;выплатит;выплатите;выплатим;выплатят;выплати;выплатите;;выплатив, выплатя, *выплативши;;выплативший;;выплаченный;;
1508;8005;C1;"jump out; leap out";"sauter; bondir (hors) de";выскакивать;;;;;;несовер.;выскакивать/выскочить;;действит.;выскакиваю;выскакиваешь;выскакивает;выскакиваете;выскакиваем;выскакивают;выскакивай;выскакивайте;выскакивая;выскакивав;выскакивающий;выскакивавший;выскакивающий;выскакивавший;;
10000;10000;C1;"jump out; leap out";"sauter; bondir (hors) de";выскочить;;;;;;совер.;выскакивать/выскочить;;действит.;выскочу;выскочишь;выскочит;выскочите;выскочим;выскочат;выскочи;выскочите;;выскочив, *выскочивши;;выскочивший;;;;
1509;8007;C1;"die; croak";crever;сдохнуть;;;;;;совер.;сдыхать/сдохнуть;;действит.;сдохну;сдохнешь;сдохнет;сдохнете;сдохнем;сдохнут;сдохни;сдохните;;сдохнув, сдохши;;сдохнувший, сдохший;;;;
10000;10000;C1;"die; croak";crever;сдыхать;;;;;;perfective aspect unset;сдыхать/сдохнуть;;действит.;сдыхаю;сдыхаешь;сдыхает;сдыхаете;сдыхаем;сдыхают;сдыхай;сдыхайте;сдыхая;сдыхав, *сдыхавши;сдыхающий;сдыхавший;сдыхающий;сдыхавший;;
1510;8010;C1;oblige;obliger;обязывать;;;;;;несовер.;обязывать/обязать;;;обязую, обязываю;обязуешь, обязываешь;обязует, обязывает;обязуете, обязываете;обязуем, обязываем;обязуют, обязывают;обязуй, обязывай;обязуйте, обязывайте;обязуя, обязывая;обязывав;обязующий, обязывающий;обязывавший;обязуемый, обязываемый;;;
10000;10000;C1;oblige;obliger;обязать;;;;;;совер.;обязывать/обязать;;;;;;;;;обязуй;обязуйте;обязуя;обязав, *обязавши;обязующий;обязавший;обязуемый;-;;
1511;8017;C1;take turns;"changer; être relevé";сменяться;;;;;;несовер.;сменяться/смениться;возврат.;;;;;;;;сменяйся;сменяйтесь;;сменявшись;;сменявшийся;;;;
10000;10000;C1;take turns;"changer; être relevé";смениться;;;;;;совер.;сменяться/смениться;возврат.;;сменюсь;сменишься;сменится;сменитесь;сменимся;сменятся;сменись;сменитесь;;сменившись, сменясь;;сменившийся;;;;
1512;8022;C1;"desegregate; integrate";intégrer;интегрировать;;;;;;perfective aspect unset;;;;интегрирую;интегрируешь;интегрирует;интегрируете;интегрируем;интегрируют;интегрируй;интегрируйте;интегрируя;интегрировав;интегрирующий;интегрировавший;интегрируемый;интегрированный;;
1513;8026;C1;invest;investir;инвестировать;;;;;;несовер.;;;;инвестирую;инвестируешь;инвестирует;инвестируете;инвестируем;инвестируют;инвестируй;инвестируйте;инвестируя;инвестировав;инвестирующий;инвестировавший;инвестируемый;инвестированный;;
1514;8027;C1;"go; get to";"disparaître; passer";деваться;;;;;;несовер.;деваться/деться;возврат.;;деваюсь;деваешься;девается;деваетесь;деваемся;деваются;девайся;девайтесь;деваясь;девавшись;девающийся;девавшийся;девающийся;девавшийся;;
10000;10000;C1;"go; get to";"disparaître; passer";деться;;;;;;совер.;деваться/деться;возврат.;;денусь;денешься;денется;денетесь;денемся;денутся;денься;деньтесь;;девавшись;;девавшийся;;;;
1515;8029;C1;"dig; burrow";"creuser; bêcher";рыть;;;;;;несовер.;;;;рою;роешь;роет;роете;роем;роют;рой;ройте;роя;рыв;роющий;рывший;роемый;рытый;;
1516;8034;C1;"touch; brush (against)";задеть 1;задевать;;;;;;несовер.;задевать/задеть;;;задеваю;задеваешь;задевает;задеваете;задеваем;задевают;задевай;задевайте;задевая;задевав;задевающий;задевавший;задеваемый;;;
10000;10000;C1;"touch; brush (against)";"frôler; heurter";задеть;;;;;;совер.;задевать/задеть;;;задену;заденешь;заденет;заденете;заденем;заденут;задень;заденьте;;задев, *задевши;;задевший;;задетый;;
1517;8038;C1;"neglect; disregard";"négliger; dédaigner";пренебрегать;;;;;;несовер.;пренебрегать/пренебречь;;;пренебрегаю;пренебрегаешь;пренебрегает;пренебрегаете;пренебрегаем;пренебрегают;пренебрегай;пренебрегайте;пренебрегая;пренебрегав;пренебрегающий;пренебрегавший;пренебрегаемый;;;
10000;10000;C1;"neglect; disregard";"négliger; dédaigner";пренебречь;;;неправ.;;;совер.;пренебрегать/пренебречь;;;пренебрегу;пренебрежёшь;пренебрежёт;пренебрежёте;пренебрежём;пренебрегут;пренебреги;пренебрегите;;пренебрёгши;;пренебрёгший;;;;
1518;8039;C1;"throw off / away; cast away / aside";"jeter de côté; rejeter";отбрасывать;;;;;;несовер.;отбрасывать/отбросить;;;отбрасываю;отбрасываешь;отбрасывает;отбрасываете;отбрасываем;отбрасывают;отбрасывай;отбрасывайте;отбрасывая;отбрасывав;отбрасывающий;отбрасывавший;отбрасываемый;;;
10000;10000;C1;"throw off / away; cast away / aside";"jeter de côté; rejeter";отбросить;;;;;;совер.;отбрасывать/отбросить;;;отброшу;отбросишь;отбросит;отбросите;отбросим;отбросят;отбрось;отбросьте;;отбросив, *отбросивши;;отбросивший;;отброшенный;;
1519;8044;C1;"borrow; take (over)";emprunter;заимствовать;;;;;;несовер.;заимствовать/позаимствовать;;;заимствую;заимствуешь;заимствует;заимствуете;заимствуем;заимствуют;заимствуй;заимствуйте;заимствуя;заимствовав;заимствующий;заимствовавший;заимствуемый;заимствованный;;
10000;10000;C1;"borrow; take (over)";emprunter;позаимствовать;;;;;;совер.;заимствовать/позаимствовать;;;позаимствую;позаимствуешь;позаимствует;позаимствуете;позаимствуем;позаимствуют;позаимствуй;позаимствуйте;;позаимствовав, *позаимствовавши;;позаимствовавший;;;;
1520;8054;C1;"complete (with); match";"égaler; être égal à";равняться;;;;;;несовер.;равняться/сравняться;возврат.;;равняюсь;равняешься;равняется;равняетесь;равняемся;равняются;равняйся;равняйтесь;равняясь;равнявшись;равняющийся;равнявшийся;равняющийся;равнявшийся;;
10000;10000;C1;"complete (with); match";"égaler; être égal à";сравняться;;;;;;совер.;равняться/сравняться;возврат.;;сравняюсь;сравняешься;сравняется;сравняетесь;сравняемся;сравняются;сравняйся;сравняйтесь;;сравнявшись;;сравнявшийся;;;;
1521;8059;C1;"push off / away / aside; repel";repousser;отталкивать;;;;;;несовер.;отталкивать/оттолкнуть;;;отталкиваю;отталкиваешь;отталкивает;отталкиваете;отталкиваем;отталкивают;отталкивай;отталкивайте;отталкивая;отталкивав;отталкивающий;отталкивавший;отталкиваемый;;;
10000;10000;C1;"push off / away / aside; repel";repousser;оттолкнуть;;;;;;совер.;отталкивать/оттолкнуть;;;оттолкну;оттолкнёшь;оттолкнёт;оттолкнёте;оттолкнём;оттолкнут;оттолкни;оттолкните;;оттолкнув, *оттолкнувши;;оттолкнувший;;оттолкнутый;;
1522;8060;C1;"ape; emulate";imiter;имитировать;;;;;;несовер.;;;;имитирую;имитируешь;имитирует;имитируете;имитируем;имитируют;имитируй;имитируйте;имитируя;имитировав;имитирующий;имитировавший;имитируемый;имитированный;;
1523;8061;C1;"collapse; break down";"tomber en ruines; s'écrouler";рушиться;;;;;;не/совер.;;возврат.;;рушусь;рушишься;рушится;рушитесь;рушимся;рушатся;рушься;рушьтесь;рушась;рушившись;рушащийся;рушившийся;рушащийся;рушившийся;;
10000;10000;C1;"pull down; tear down";"abattre; démolir";рушить;;;;;;несовер.;рушить/рушиться;;;рушу;рушишь;рушит;рушите;рушим;рушат;рушь;рушьте;руша;рушив, *рушивши;рушащий;рушивший;*рушимый;рушенный;;
1524;8064;C1;"put; put away";"mettre; étaler";раскладывать;;;;;;несовер.;раскладывать/разложить;;;раскладываю;раскладываешь;раскладывает;раскладываете;раскладываем;раскладывают;раскладывай;раскладывайте;раскладывая;раскладывав;раскладывающий;раскладывавший;раскладываемый;;;
10000;10000;C1;"analyze; analyse";"mettre; étaler";разложить;;;неправ.;;;совер.;раскладывать/разложить;;;разложу;разложишь;разложит;разложите;разложим;разложат;разложи;разложите;;разложив, *разложивши;;разложивший;;разложенный;;
1525;8070;C1;"sit down; take / have a seat";s’asseoir;присаживаться;;;;;;несовер.;присаживаться/присесть;возврат.;;присаживаюсь;присаживаешься;присаживается;присаживаетесь;присаживаемся;присаживаются;присаживайся;присаживайтесь;присаживаясь;присаживавшись;присаживающийся;присаживавшийся;присаживающийся;присаживавшийся;;
10000;10000;C1;"squat; cower";s’asseoir;присесть;;;неправ.;;;совер.;присаживаться/присесть;;действит.;присяду;присядешь;присядет;присядете;присядем;присядут;присядь;присядьте;;присев, *присевши;;присевший;;;;
1526;8071;C1;"be lack(ing) / want(ing) / missing; be short of";"manquer; faire défaut";недоставать;;;;;;несовер.;недоставать/недостать;;;;;;;;;;;;;;;;;;
10000;10000;C1;"be lack(ing) / want(ing) / missing; be short of";"manquer; faire défaut";недостать;;;;;;совер.;недоставать/недостать;;;;;;;;;;;;;;;;;;
1527;8072;C1;"sow; drill";semer;сеять;;;;;;несовер.;сеять/посеять;;;сею;сеешь;сеет;сеете;сеем;сеют;сей;сейте;сея;сеяв;сеющий;сеявший;;сеянный;;
10000;10000;C1;"sow; drill";"semer; emblaver";посеять;;;;;;совер.;сеять/посеять;;;посею;посеешь;посеет;посеете;посеем;посеют;посей;посейте;;посеяв, *посеявши;;посеявший;;посеянный;;
1528;8076;C1;"load (on); embark";"charger; embarquer";грузить;;;;;;несовер.;грузить/погрузить;;;гружу;грузишь;грузит;грузите;грузим;грузят;грузи;грузите;грузя;грузив;грузящий;грузивший;;гружённый;;
10000;10000;C1;"immerse (into); dip (into)";"charger; embarquer";погрузить;;;неправ.;;;совер.;грузить/погрузить;;;погружу;погрузишь;погрузит;погрузите;погрузим;погрузят;погрузи;погрузите;;погрузив, *погрузивши;;погрузивший;;погруженный, погружённый;;
1529;8078;C1;"join; side (with)";"adhérer; se joindre (à)";примыкать;;;;;;несовер.;примыкать/примкнуть;;действит.;примыкаю;примыкаешь;примыкает;примыкаете;примыкаем;примыкают;примыкай;примыкайте;примыкая;примыкав;примыкающий;примыкавший;примыкающий;примыкавший;;
10000;10000;C1;"join; side (with)";"adhérer; se joindre (à)";примкнуть;;;;;;совер.;примыкать/примкнуть;;действит.;примкну;примкнёшь;примкнёт;примкнёте;примкнём;примкнут;примкни;примкните;;примкнув, *примкнувши;;примкнувший;;;;
1530;8081;C1;take / go for a walk / stroll;"se promener; faire les cent pas";прогуливаться;;;;;;несовер.;прогуливаться/прогуляться;возврат.;;;;прогуливается;;;прогуливаются;;;;;прогуливающийся;прогуливавшийся;прогуливающийся;прогуливавшийся;;
10000;10000;C1;take / go for a walk / stroll;"faire une promenade; faire un tour";прогуляться;;;;;;совер.;прогуливаться/прогуляться;возврат.;действит.;прогуляюсь;прогуляешься;прогуляется;прогуляетесь;прогуляемся;прогуляются;прогуляйся;прогуляйтесь;прогуляясь;прогуляв, *гулявшись;прогуляющийся;прогулявшийся;прогуляющийся;прогулявшийся;;
1531;8084;C1;mobilize;"mobiliser; appeler sous les drapeaux";мобилизовать;;;;;;не/совер.;;;;мобилизую;мобилизуешь;мобилизует;мобилизуете;мобилизуем;мобилизуют;мобилизуй;мобилизуйте;;мобилизовав;;мобилизовавший;;мобилизованный;;
10000;10000;C1;mobilize;"mobiliser; appeler sous les drapeaux";мобилизовывать;;;;;;perfective aspect unset;мобилизовывать/мобилизовать;;;мобилизовываю;мобилизовываешь;мобилизовывает;мобилизовываете;мобилизовываем;мобилизовывают;мобилизовывай;мобилизовывайте;мобилизовывая;мобилизовывав, *мобилизовывавши;мобилизовывающий, мобилизующий;мобилизовывавший;мобилизовываемый;;;
1532;8090;C1;"confess; hear confession (of)";confesser;исповедовать;;;;;;не/совер.;;;;исповедую;исповедуешь;исповедует;исповедуете;исповедуем;исповедуют;исповедуй;исповедуйте;исповедуя;исповедовав;исповедующий;исповедовавший;исповедуемый;;;
1533;8091;C1;guard, take care;garder, veiller sur;оберегать;кого-то;;;;;несовер.;оберегать/оберечь;;;оберегаю;оберегаешь;оберегает;оберегаете;оберегаем;оберегают;оберегай;оберегайте;оберегая;оберегав;оберегающий;оберегавший;оберегаемый;;;
10000;10000;C1;guard, take care;garder, veiller sur;оберечь;кого-то;;неправ.;;;совер.;оберегать/оберечь;;;оберегу;обережёшь;обережёт;обережёте;обережём;оберегут;обереги;оберегите;;оберегши, оберёгши;;оберёгший;;обережённый;;
1534;8092;C1;move / push ahead / on / forward / further;"faire avancer; pousser";продвигать;;;;;;несовер.;продвигать/продвинуть;;;продвигаю;продвигаешь;продвигает;продвигаете;продвигаем;продвигают;продвигай;продвигайте;;продвигав;;продвигавший;;;;
1535;8096;C1;"embarrass; (cause) trouble";embarrasser;затруднять;;;;;;несовер.;затруднять/затруднить;;;затрудняю;затрудняешь;затрудняет;затрудняете;затрудняем;затрудняют;затрудняй;затрудняйте;затрудняя;затруднявши;затрудняющий;затруднявший;затрудняемый;;;
10000;10000;C1;"embarrass; (cause) trouble";embarrasser;затруднить;;;;;;совер.;затруднять/затруднить;;;затрудню;затруднишь;затруднит;затрудните;затрудним;затруднят;затрудни;затрудните;;затруднив, *затруднивши;;затруднивший;;затруднённый;;
1536;8098;C1;"tighten; draw tight";serrer;затягивать;;;;;;несовер.;затягивать/затянуть;;;затягиваю;затягиваешь;затягивает;затягиваете;затягиваем;затягивают;затягивай;затягивайте;затягивая;затягивав;затягивающий;затягивавший;затягиваемый;;;
10000;10000;C1;"tighten; draw tight";serrer;затянуть;;;;;;совер.;затягивать/затянуть;;;затяну;затянешь;затянет;затянете;затянем;затянут;затяни;затяните;;затянув, *затянувши;;затянувший;;затянутый;;
1537;8102;C1;"perfect; improve";perfectionner;совершенствовать;;;;;;несовер.;совершенствовать/усовершенствовать;;;совершенствую;совершенствуешь;совершенствует;совершенствуете;совершенствуем;совершенствуют;совершенствуй;совершенствуйте;совершенствуя;совершенствовав;совершенствующий;совершенствовавший;совершенствуемый;совершенствованный;;
10000;10000;C1;"perfect; improve";"perfectionner; améliorer";усовершенствовать;;;;;;совер.;совершенствовать/усовершенствовать;;;;;;;;;усовершенствуй;усовершенствуйте;усовершенствуя;усовершенствовав, *усовершенствовавши;усовершенствующий;усовершенствовавший;усовершенствуемый;усовершенствованный;;
1538;8104;C1;"bring; carry";"apporter; remettre en passant";заносить;;;;;;несовер.;заносить/занести;;;заношу;заносишь;заносит;заносите;заносим;заносят;заноси;заносите;;заносив;;заносивший;;заношенный;;
10000;10000;C1;"bring; carry";"apporter; remettre en passant";занести;;;неправ.;;;совер.;заносить/занести;;;занесу;занесёшь;занесёт;занесёте;занесём;занесут;занеси;занесите;;занеся, *занёсши;;занёсший;;занесённый;;
1539;8105;C1;"break / fall in / through; come down";tomber;проваливаться;;;;;;несовер.;проваливаться/провалиться;возврат.;;проваливаюсь;проваливаешься;проваливается;проваливаетесь;проваливаемся;проваливаются;проваливайся;проваливайтесь;проваливаясь;проваливавшись;проваливающийся;проваливавшийся;проваливающийся;проваливавшийся;;
10000;10000;C1;"break / fall in / through; come down";tomber;провалиться;;;;;;совер.;проваливаться/провалиться;возврат.;;провалюсь;провалишься;провалится;провалитесь;провалимся;провалятся;провались;провалитесь;;провалившись, провалясь;;провалившийся;;;;
1540;8109;C1;work off;отработать 1;отрабатывать;;;;;;несовер.;отрабатывать/отработать;;;отрабатываю;отрабатываешь;отрабатывает;отрабатываете;отрабатываем;отрабатывают;отрабатывай;отрабатывайте;отрабатывая;отрабатывав;отрабатывающий;отрабатывавший;отрабатываемый;;;
10000;10000;C1;work off;travailler en remboursement d'une dette;отработать;;;;;;совер.;отрабатывать/отработать;;;отработаю;отработаешь;отработает;отработаете;отработаем;отработают;отработай;отработайте;;отработав, *отработавши;;отработавший;;отработанный;;
1541;8111;C1;"send; dispatch";"envoyer; expédier";высылать;;;;;;несовер.;высылать/выслать;;;высылаю;высылаешь;высылает;высылаете;высылаем;высылают;высылай;высылайте;высылая;высылав;высылающий;высылавший;высылаемый;;;
10000;10000;C1;"send; dispatch";"envoyer; expédier";выслать;;;неправ.;;;совер.;высылать/выслать;;;вышлю;вышлешь;вышлет;вышлете;вышлем;вышлют;вышли;вышлите;;выслав, *выславши;;выславший;;высланный;;
1542;8113;C1;"seize; take possession / hold of";"s'emparer; emporter";овладевать;;;;;;несовер.;овладевать/овладеть;;действит.;овладеваю;овладеваешь;овладевает;овладеваете;овладеваем;овладевают;овладевай;овладевайте;овладевая;овладевав;овладевающий;овладевавший;овладевающий;овладевавший;;
10000;10000;C1;"seize; take possession / hold of";"s'emparer; emporter";овладеть;;;;;;совер.;овладевать/овладеть;;действит.;овладею;овладеешь;овладеет;овладеете;овладеем;овладеют;овладей;овладейте;;овладев, *овладевши;;овладевший;;;;
1543;8118;C1;inspire;inspirer;вдохновлять;;;;;;несовер.;вдохновлять/вдохновить;;;вдохновляю;вдохновляешь;вдохновляет;вдохновляете;вдохновляем;вдохновляют;вдохновляй;вдохновляйте;вдохновляя;вдохновляв;вдохновляющий;вдохновлявший;вдохновляемый;;;
10000;10000;C1;inspire;inspirer;вдохновить;;;;;;совер.;вдохновлять/вдохновить;;;вдохновлю;вдохновишь;вдохновит;вдохновите;вдохновим;вдохновят;вдохнови;вдохновите;;вдохновив, *вдохновивши;;вдохновивший;;вдохновлённый;;
1544;8119;C1;"change; supersede";(échanger troquer) contre;сменять;;;;;;несовер.;сменять/сменить;;;сменяю;сменяешь;сменяет;сменяете;сменяем;сменяют;сменяй;сменяйте;сменяя;сменявши;сменяющий;сменявший;сменяемый;;;
10000;10000;C1;"change; supersede";changer de;сменить;;;;;;совер.;сменять/сменить;;;сменю;сменишь;сменит;смените;сменим;сменят;смени;смените;;сменив, *сменивши;;сменивший;;сменённый;;
1545;8121;C1;use foul language;"jurer; proférer des gros mots des jurons";материться;;разг.;;;;несовер.;материться/материть;возврат.;;матерюсь;материшься;матерится;материтесь;материмся;матерятся;матерись;материтесь;матерясь;матерившись;матерящийся;матерившийся;матерящийся;матерившийся;;
10000;10000;C1;;;материть;;;;;;perfective aspect unset;материть/материться;;;;;;;;;;;;;;;;;;
1546;8127;C1;"break through; pierce";"percer; trouer";пробивать;;;;;;несовер.;пробивать/пробить;;;пробиваю;пробиваешь;пробивает;пробиваете;пробиваем;пробивают;пробивай;пробивайте;пробивая;пробивав;пробивающий;пробивавший;пробиваемый;;;
10000;10000;C1;"break through; pierce";"percer; trouer";пробить;;;;;;совер.;пробивать/пробить;;действит.;пробью;пробьёшь;пробьёт;пробьёте;пробьём;пробьют;пробей;пробейте;;пробив, *пробивши;;пробивший;;;;
1547;8128;C1;"contest; dispute";contester;оспаривать;;;;;;несовер.;оспаривать/оспорить;;;оспариваю;оспариваешь;оспаривает;оспариваете;оспариваем;оспаривают;оспаривай;оспаривайте;оспаривая;оспаривав;оспаривающий;оспаривавший;оспариваемый;;;
10000;10000;C1;"contest; dispute";contester;оспорить;;;;;;совер.;оспаривать/оспорить;;;оспорю;оспоришь;оспорит;оспорите;оспорим;оспорят;оспорь;оспорьте;;оспорив, *оспоривши;;оспоривший;;оспоренный;;
1548;8129;C1;"be interrupted; break";"s'interrompre; s'entrecouper";прерываться;;;;;;несовер.;прерываться/прерваться;возврат.;;прерываюсь;прерываешься;прерывается;прерываетесь;прерываемся;прерываются;прерывайся;прерывайтесь;прерываясь;прерывавшись;прерывающийся;прерывавшийся;прерывающийся;прерывавшийся;;
