Ранг ГЛ;Ранг РУ;Уровень;По-английски;По-французски;Инфинитив;Подробности;Разговорный;Неправильный;Группа ;Суффикс спряжения;Совершенный вид;Пара аспектов;Возвратный;Действительный;Я;Ты;Он/Она/Оно;Мы;Вы;Они;Повелительное накл. 1;Повелительное накл. 2;Деепричастие Наст. время;Деепричастие Прош. время;Действит. причастие Наст. время;Действит. причастие Прош. время;Страдат. причастие Наст. время;Страдат. причастие Прош. время;Скрытый1-unwantedToExport;Скрытый2-genericFirstTrans
797;4580;B2;deserve, merit;mériter;заслуживать;;;;;;несовер.;заслуживать/заслужить;;;заслуживаю;заслуживаешь;заслуживает;заслуживаете;заслуживаем;заслуживают;заслуживай;заслуживайте;заслуживая;заслуживав;заслуживающий;заслуживавший;заслуживаемый;;;
10000;10000;B2;deserve, merit;mériter;заслужить;;;неправ.;;;совер.;заслуживать/заслужить;;;заслужу;заслужишь;заслужит;заслужите;заслужим;заслужат;заслужи;заслужите;;заслужив, *заслуживши;;заслуживший;;заслуженный;;
798;4584;B2;"attack; charge";"attaquer; charger";атаковать;;;;;;не/совер.;;;;атакую;атакуешь;атакует;атакуете;атакуем;атакуют;атакуй;атакуйте;;атаковав;;атаковавший;;атакованный;;
10000;10000;B2;"attack; charge";"attaquer; charger";атаковывать;;;;;;perfective aspect unset;атаковывать/атаковать;;;атаковываю;атаковываешь;атаковывает;атаковываете;атаковываем;атаковывают;атаковывай;атаковывайте;атаковывая;атаковывав, *атаковывавши;атаковывающий, атакующий;атаковывавший;атаковываемый;;;
799;4588;B2;be on / for sale;"se vendre; être à vendre";продаваться;;;;;;несовер.;продаваться/продаться;возврат.;;;;;;;;продавайся;продавайтесь;продаваясь;продававшись;продающийся;продававшийся;продающийся;продававшийся;;
10000;10000;B2;be on / for sale;se vendre;продаться;;;неправ.;;;совер.;продаваться/продаться;возврат.;;продамся;продашься;продастся;продадитесь;продадимся;продадутся;продайся;продайтесь;;продавшись;;продавшийся;;;;
800;4589;B2;"make; make one's way";"se diriger; s'acheminer";направляться;;;;;;несовер.;направляться/направиться;возврат.;;направляюсь;направляешься;направляется;направляетесь;направляемся;направляются;направляйся;направляйтесь;направляясь;направлявшись;направляющийся;направлявшийся;направляющийся;направлявшийся;;
10000;10000;B2;"make; make one's way";"se diriger; se rendre";направиться;;;;;;совер.;направляться/направиться;возврат.;;направлюсь;направишься;направится;направитесь;направимся;направятся;направься;направьтесь;;направившись;;направившийся;;;;
801;4608;B2;"dash; rush";se précipiter;бросаться;;;;;;несовер.;бросаться/броситься;возврат.;;бросаюсь;бросаешься;бросается;бросаетесь;бросаемся;бросаются;бросайся;бросайтесь;бросаясь;бросавшись;бросающийся;бросавшийся;бросающийся;бросавшийся;;
10000;10000;B2;"dash; rush";se précipiter;броситься;;;;;;совер.;бросаться/броситься;возврат.;;брошусь;бросишься;бросится;броситесь;бросимся;бросятся;бросься;бросьтесь;;бросившись;;бросившийся;;;;
